Rank,Full Journal Title,Journal Impact Factor,ESI_field,COPE (T = member; F = not a member),journalHomepage,originalLink_articleTypes,permaLink_articleTypes
28,World Psychiatry,30,PSYCHIATRY_PSYCHOLOGY,FALSE,https://onlinelibrary.wiley.com/journal/20515545,F,NA
268,Perspectives on Psychological Science,9.305,PSYCHIATRY_PSYCHOLOGY,TRUE,https://journals.sagepub.com/home/pps,https://www.psychologicalscience.org/publications/perspectives/pps-submissions#TAP,https://perma.cc/FWV8-45JU
95,JAMA Psychiatry,16.642,PSYCHIATRY_PSYCHOLOGY,FALSE,https://jamanetwork.com/journals/jamapsychiatry,https://jamanetwork.com/journals/jamapsychiatry/pages/instructions-for-authors,https://perma.cc/CCY7-BLYK https://web.archive.org/web/20200329092114/https://jamanetwork.com/pages/commenting-policy
111,Lancet Psychiatry,15.233,PSYCHIATRY_PSYCHOLOGY,TRUE,https://www.thelancet.com/journals/lanpsy/home,https://els-jbs-prod-cdn.literatumonline.com/pb/assets/raw/Lancet/authors/tlp-info-for-authors-1570012988860.pdf,https://perma.cc/2ZBP-CRM8
150,AMERICAN JOURNAL OF PSYCHIATRY,13.396,PSYCHIATRY_PSYCHOLOGY,FALSE,https://ajp.psychiatryonline.org,https://ajp.psychiatryonline.org/ajp_ifora,https://perma.cc/5KW6-NVFW
163,PSYCHOTHERAPY AND PSYCHOSOMATICS,13.122,PSYCHIATRY_PSYCHOLOGY,FALSE,https://www.karger.com/Journal/Home/223864,https://www.karger.com/Journal/Guidelines/223864#sec5,https://perma.cc/PD8V-95KH
515,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,6.486,PSYCHIATRY_PSYCHOLOGY,TRUE,https://onlinelibrary.wiley.com/journal/14697610,https://onlinelibrary.wiley.com/page/journal/14697610/homepage/forauthors.html,https://perma.cc/B7J7-AH9G
517,PSYCHOLOGICAL METHODS,6.485,PSYCHIATRY_PSYCHOLOGY,FALSE,https://www.apa.org/pubs/journals/met/,https://www.apa.org/pubs/journals/met/?tab=4,https://osf.io/ewupz/
554,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,6.25,PSYCHIATRY_PSYCHOLOGY,TRUE,https://www.jaacap.org,https://www.jaacap.org/content/authorinfo#idp1386304,https://osf.io/2jkz7/
579,PSYCHOLOGICAL SCIENCE,6.128,PSYCHIATRY_PSYCHOLOGY,TRUE,https://journals.sagepub.com/home/pss,https://www.psychologicalscience.org/publications/psychological_science/ps-submissions#ART,https://perma.cc/26U7-5DFD
637,BRITISH JOURNAL OF PSYCHIATRY,5.867,PSYCHIATRY_PSYCHOLOGY,TRUE,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/information/instructions-contributors,https://perma.cc/PC33-QJ3H
660,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,5.733,PSYCHIATRY_PSYCHOLOGY,FALSE,https://www.apa.org/pubs/journals/psp/,https://www.apa.org/pubs/journals/psp/index?tab=4,https://perma.cc/E3LX-HYBR
668,Epidemiology and Psychiatric Sciences,5.684,PSYCHIATRY_PSYCHOLOGY,TRUE,https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences,https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences/information/instructions-contributors,https://perma.cc/3CJ4-VM46
707,PERSONNEL PSYCHOLOGY,5.523,PSYCHIATRY_PSYCHOLOGY,TRUE,https://onlinelibrary.wiley.com/journal/17446570,https://onlinelibrary.wiley.com/page/journal/17446570/homepage/forauthors.html,https://perma.cc/AM38-Q94W?type=image
723,PSYCHOLOGICAL MEDICINE,5.475,PSYCHIATRY_PSYCHOLOGY,TRUE,https://www.cambridge.org/core/journals/psychological-medicine,https://www.cambridge.org/core/journals/psychological-medicine/information/instructions-contributors,https://perma.cc/8YPD-PZ7C
78,Nature Climate Change,19.181,ENVIRONMENT_ECOLOGY,TRUE,https://www.nature.com/nclimate/,https://www.nature.com/nclimate/about/content,https://perma.cc/TWT8-HS3X
281,ECOLOGY LETTERS,9.137,ENVIRONMENT_ECOLOGY,TRUE,https://onlinelibrary.wiley.com/journal/14610248,https://onlinelibrary.wiley.com/page/journal/14610248/homepage/forauthors.html#tips2,https://perma.cc/4VDM-8PQQ
291,GLOBAL CHANGE BIOLOGY,8.997,ENVIRONMENT_ECOLOGY,TRUE,https://onlinelibrary.wiley.com/journal/13652486,https://onlinelibrary.wiley.com/page/journal/13652486/homepage/forauthors.html,https://perma.cc/JP7H-UFTK
322,SYSTEMATIC BIOLOGY,8.523,ENVIRONMENT_ECOLOGY,TRUE,https://academic.oup.com/sysbio,https://academic.oup.com/sysbio/pages/General_Instructions,https://perma.cc/87J5-DHVG
327,ENVIRONMENTAL HEALTH PERSPECTIVES,8.44,ENVIRONMENT_ECOLOGY,TRUE,https://ehp.niehs.nih.gov,https://ehp.niehs.nih.gov/authors/what-ehp-publishes,https://perma.cc/2GS9-Q9EJ
336,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,8.302,ENVIRONMENT_ECOLOGY,TRUE,https://www.frontiersinecology.org/fron/,https://www.frontiersinecology.org/fron/instructions-to-authors/,https://perma.cc/XPF7-F9NV
370,ECOLOGICAL MONOGRAPHS,7.828,ENVIRONMENT_ECOLOGY,FALSE,https://esajournals.onlinelibrary.wiley.com/journal/15577015,https://esajournals.onlinelibrary.wiley.com/hub/journal/15577015/resources/author-guidelines-ecm#Types_of_Contributions,https://perma.cc/4WSA-2EHA
409,ENVIRONMENT INTERNATIONAL,7.297,ENVIRONMENT_ECOLOGY,TRUE,https://www.journals.elsevier.com/environment-international,https://www.elsevier.com/journals/environment-international/0160-4120/guide-for-authors#2002,https://perma.cc/UU3G-992W
410,Conservation Letters,7.279,ENVIRONMENT_ECOLOGY,TRUE,https://conbio.onlinelibrary.wiley.com/journal/1755263x,https://conbio.onlinelibrary.wiley.com/hub/journal/1755263x/homepage/forauthors.html#ATypes,https://perma.cc/5K3R-LACV
412,LAND DEGRADATION & DEVELOPMENT,7.27,ENVIRONMENT_ECOLOGY,TRUE,https://onlinelibrary.wiley.com/journal/1099145x,https://onlinelibrary.wiley.com/page/journal/1099145x/homepage/forauthors.html#manuscriptcategories,https://perma.cc/E7VT-3LVA
437,Molecular Ecology Resources,7.059,ENVIRONMENT_ECOLOGY,TRUE,https://onlinelibrary.wiley.com/journal/17550998,https://onlinelibrary.wiley.com/page/journal/17550998/homepage/forauthors.html#cat,https://perma.cc/66FA-PJ8N
438,WATER RESEARCH,7.051,ENVIRONMENT_ECOLOGY,TRUE,https://www.journals.elsevier.com/water-research,https://www.elsevier.com/journals/water-research/0043-1354/guide-for-authors#2001,https://perma.cc/3G2Z-PDHS
482,ENVIRONMENTAL SCIENCE & TECHNOLOGY,6.653,ENVIRONMENT_ECOLOGY,TRUE,https://pubs.acs.org/journal/esthag,http://pubsapp.acs.org/paragonplus/submission/esthag/esthag_authguide.pdf?,https://perma.cc/V3W2-LZRW
575,MOLECULAR ECOLOGY,6.131,ENVIRONMENT_ECOLOGY,TRUE,https://onlinelibrary.wiley.com/journal/1365294x,https://onlinelibrary.wiley.com/page/journal/1365294x/homepage/forauthors.html#cat,https://perma.cc/UK98-WQPW
587,Environmental Science-Nano,6.087,ENVIRONMENT_ECOLOGY,TRUE,https://pubs.rsc.org/en/journals/journalissues/en#!recentarticles&adv,https://www.rsc.org/journals-books-databases/about-journals/environmental-science-nano/,https://perma.cc/X6HX-TPQN
2,NEW ENGLAND JOURNAL OF MEDICINE,79.26,CLINICAL MEDICINE,TRUE,https://www.nejm.org/author-center/home?query=main_nav_lg,https://www.nejm.org/author-center/article-types,https://perma.cc/8BUY-GQES
3,LANCET,53.254,CLINICAL MEDICINE,TRUE,https://www.thelancet.com/journals/lancet/home,https://www.thelancet.com/what-we-publish,https://osf.io/gtkbq/
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,47.661,CLINICAL MEDICINE,FALSE,https://jamanetwork.com/journals/jama,https://jamanetwork.com/journals/jama/pages/instructions-for-authors#,https://perma.cc/89QC-87FF https://web.archive.org/web/20200329092114/https://jamanetwork.com/pages/commenting-policy
17,LANCET ONCOLOGY,36.421,CLINICAL MEDICINE,TRUE,https://www.thelancet.com/journals/lanonc/home,https://www.thelancet.com/what-we-publish,https://osf.io/gtkbq/
34,JOURNAL OF CLINICAL ONCOLOGY,26.36,CLINICAL MEDICINE,FALSE,https://ascopubs.org/journal/jco,https://ascopubs.org/jco/site/ifc/determine-my-article-type.xhtml,https://osf.io/4zjd9/
43,Cancer Discovery,24.373,CLINICAL MEDICINE,TRUE,https://cancerdiscovery.aacrjournals.org,https://cancerdiscovery.aacrjournals.org/site/misc/journal_ifora.xhtml,https://perma.cc/3Z7B-EDWX
46,BMJ-British Medical Journal,23.562,CLINICAL MEDICINE,FALSE,https://www.bmj.com,https://www.bmj.com/about-bmj/resources-authors/article-types,https://perma.cc/776T-353C
47,EUROPEAN HEART JOURNAL,23.425,CLINICAL MEDICINE,TRUE,https://academic.oup.com/eurheartj,https://academic.oup.com/eurheartj/pages/General_Instructions#2.1,https://perma.cc/8VR4-XEYZ
60,Lancet Respiratory Medicine,21.466,CLINICAL MEDICINE,TRUE,https://www.thelancet.com/journals/lanres/home,https://www.thelancet.com/what-we-publish,https://osf.io/gtkbq/
64,JAMA Oncology,20.871,CLINICAL MEDICINE,FALSE,https://jamanetwork.com/journals/jamaoncology,https://jamanetwork.com/journals/jamaoncology/pages/instructions-for-authors#,https://perma.cc/BXS7-FWNV https://web.archive.org/web/20200329092114/https://jamanetwork.com/pages/commenting-policy
65,GASTROENTEROLOGY,20.773,CLINICAL MEDICINE,TRUE,https://www.gastrojournal.org,https://els-jbs-prod-cdn.literatumonline.com/pb/assets/raw/Health%20Advance/journals/ygast/Information_About_Article_Types-1532022469570.pdf,https://perma.cc/RX5V-6AF4
