Coder's initials,Enter the name of the journal:,Does the journal offer any type of PPPR?,A. Enter the name of the PPPR type offered by the journal:,A. Enter the verbatim description of this type of PPPR provided by the journal,A. Are there any word/comment limits for this type of PPPR?,A. Are there any time limits for submission of this type of PPPR?,A. Are there any reference limits for this type of PPPR?,A. Is this type of PPPR peer reviewed?,A. Are there any other types of PPPR in this journal?,B. Enter the name of the PPPR type offered by the journal:,B. Enter the verbatim description of this type of PPPR provided by the journal,B. Are there any word/comment limits for this type of PPPR?,B. Are there any time limits for submission of this type of PPPR?,B. Are there any reference limits for this type of PPPR?,B. Is this type of PPPR peer reviewed?,B. Are there any other types of PPPR in this journal?,C. Enter the name of the PPPR type offered by the journal:,C. Enter the verbatim description of this type of PPPR provided by the journal,C. Are there any word/comment limits for this type of PPPR?,C. Are there any time limits for submission of this type of PPPR?,C. Are there any reference limits for this type of PPPR?,C. Is this type of PPPR peer reviewed?,C. Are there any other types of PPPR in this journal?,D. Enter the name of the PPPR type offered by the journal:,D. Enter the verbatim description of this type of PPPR provided by the journal,D. Are there any word/comment limits for this type of PPPR?,D. Are there any time limits for submission of this type of PPPR?,D. Are there any reference limits for this type of PPPR?,D. Is this type of PPPR peer reviewed?,D. Are there any other types of PPPR in this journal?,E. Enter the name of the PPPR type offered by the journal:,E. Enter the verbatim description of this type of PPPR provided by the journal,E. Are there any word/comment limits for this type of PPPR?,E. Are there any time limits for submission of this type of PPPR?,E. Are there any reference limits for this type of PPPR?,E. Is this type of PPPR peer reviewed?
SAH,ACADEMY OF MANAGEMENT JOURNAL,YES,"Commentary (""Responses or Commentaries"")","""Responses to or commentaries on previously published articles""",NOT STATED,NOT STATED,NOT STATED,"YES, ""Moreover, these submissions will also be peer reviewed.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,ACADEMY OF MANAGEMENT JOURNAL,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
SAH/JEK,ACADEMY OF MANAGEMENT JOURNAL,YES,"Commentary (""Responses or Commentaries"")","""Responses to or commentaries on previously published articles""",NOT STATED,NOT STATED,NOT STATED,"YES, ""Moreover, these submissions will also be peer reviewed.""",NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,ChemSusChem,YES,Correspondence,"Correspondence or Comments on publications in Angewandte Chemie, Chemistry Europe, and ACES journals are welcome if they contribute to the scientific discussion. The author of the publication to which the Correspondence pertains will have the opportunity to reply. This reply will be sent to the author of the Correspondence.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
RTT,ChemSusChem,YES,Correspondence,"Correspondence or Comments on publications in Angewandte Chemie, Chemistry Europe, and ACES journals are welcome if they contribute to the scientific discussion. The author of the publication to which the Correspondence pertains will have the opportunity to reply. This reply will be sent to the author of the Correspondence.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/RTT,ChemSusChem,YES,Correspondence,"Correspondence or Comments on publications in Angewandte Chemie, Chemistry Europe, and ACES journals are welcome if they contribute to the scientific discussion. The author of the publication to which the Correspondence pertains will have the opportunity to reply. This reply will be sent to the author of the Correspondence.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT,ACS Catalysis,YES,Correspondence,"Correspondence is a technical contribution providing, with supporting material, a respectful but alternative point of view to one that has appeared in ACS Catalysis.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
JEK,ACS Catalysis,YES,Correspondence/Rebuttal,"Correspondence/Rebuttal. Correspondence is a technical contribution providing, with supporting material, a respectful but alternative point of view to one that has appeared in ACS Catalysis. The author of the original publication may be invited to write a Rebuttal. The Correspondence and Rebuttal will appear in the same issue of the journal.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
LT/JEK,ACS Catalysis,YES,Correspondence/Rebuttal,"Correspondence/Rebuttal. Correspondence is a technical contribution providing, with supporting material, a respectful but alternative point of view to one that has appeared in ACS Catalysis. The author of the original publication may be invited to write a Rebuttal. The Correspondence and Rebuttal will appear in the same issue of the journal.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,NO (submits form),"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
TB,ACS Central Science,NO,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
