id,doi,authors,title,exclusion,exclusion explanation,Is article itself PPPR,Is article linked to PPPR,exchange duplicate,Additional notes,PT,SO,PD,PY,UT
ACADEMY_OF MANAGEMENT JOURNAL_49,https://doi.org/10.5465/amj.2016.0123,"Soda, G; Tortoriello, M; Iorio, A","HARVESTING VALUE FROM BROKERAGE: INDIVIDUAL STRATEGIC ORIENTATION, STRUCTURAL HOLES, AND PERFORMANCE",FALSE,NA,FALSE,FALSE,NA,NA,J,ACADEMY OF MANAGEMENT JOURNAL,JUN,2018,WOS:000436229500005
ACADEMY_OF MANAGEMENT JOURNAL_65,https://doi.org/10.5465/amj.2015.0869,"Dattee, B; Alexy, O; Autio, E",MANEUVERING IN POOR VISIBILITY: HOW FIRMS PLAY THE ECOSYSTEM GAME WHEN UNCERTAINTY IS HIGH,FALSE,NA,FALSE,FALSE,NA,NA,J,ACADEMY OF MANAGEMENT JOURNAL,APR,2018,WOS:000430556400005
ACADEMY_OF MANAGEMENT JOURNAL_25,https://doi.org/10.5465/amj.2016.0148,"McClean, EJ; Martin, SR; Emich, KJ; Woodruff, T",THE SOCIAL CONSEQUENCES OF VOICE: AN EXAMINATION OF VOICE TYPE AND GENDER ON STATUS AND SUBSEQUENT LEADER EMERGENCE,FALSE,NA,FALSE,FALSE,NA,"links to a non-PPPR ""insights"" article",J,ACADEMY OF MANAGEMENT JOURNAL,OCT,2018,WOS:000448133100011
ACADEMY_OF MANAGEMENT JOURNAL_74,https://doi.org/10.5465/amj.2015.0310,"Aristidou, A; Barrett, M",COORDINATING SERVICE PROVISION IN DYNAMIC SERVICE SETTINGS: A POSITION-PRACTICE RELATIONS PERSPECTIVE,FALSE,NA,FALSE,FALSE,NA,NA,J,ACADEMY OF MANAGEMENT JOURNAL,APR,2018,WOS:000430556400013
ACADEMY_OF MANAGEMENT JOURNAL_18,https://doi.org/10.5465/amj.2015.0823,"Grimes, MG",THE PIVOT: HOW FOUNDERS RESPOND TO FEEDBACK THROUGH IDEA AND IDENTITY WORK,FALSE,NA,FALSE,FALSE,NA,NA,J,ACADEMY OF MANAGEMENT JOURNAL,OCT,2018,WOS:000448133100004
ACADEMY_OF MANAGEMENT JOURNAL_93,https://doi.org/10.5465/amj.2018.4001,"Shaw, JD; Tangirala, S; Vissa, B; Rodell, JB",NEW WAYS OF SEEING: THEORY INTEGRATION ACROSS DISCIPLINES,TRUE,not research,NA,NA,NA,editorial,J,ACADEMY OF MANAGEMENT JOURNAL,44228,2018,WOS:000425376000001
ACADEMY_OF MANAGEMENT JOURNAL_47,https://doi.org/10.5465/amj.2015.0856,"Tasselli, S; Kilduff, M",WHEN BROKERAGE BETWEEN FRIENDSHIP CLIQUES ENDANGERS TRUST: A PERSONALITY-NETWORK FIT PERSPECTIVE,FALSE,NA,FALSE,FALSE,NA,NA,J,ACADEMY OF MANAGEMENT JOURNAL,JUN,2018,WOS:000436229500002
ACADEMY_OF MANAGEMENT JOURNAL_24,https://doi.org/10.5465/amj.2016.1155,"Gupta, A; Briscoe, F; Hambrick, DC","EVENHANDEDNESS IN RESOURCE ALLOCATION: ITS RELATIONSHIP WITH CEO IDEOLOGY, ORGANIZATIONAL DISCRETION, AND FIRM PERFORMANCE",FALSE,NA,FALSE,FALSE,NA,NA,J,ACADEMY OF MANAGEMENT JOURNAL,OCT,2018,WOS:000448133100010
ACADEMY_OF MANAGEMENT JOURNAL_71,https://doi.org/10.5465/amj.2015.1080,"Uzunca, B",A COMPETENCE-BASED VIEW OF INDUSTRY EVOLUTION: THE IMPACT OF SUBMARKET CONVERGENCE ON INCUMBENT-ENTRANT DYNAMICS,FALSE,NA,FALSE,FALSE,NA,NA,J,ACADEMY OF MANAGEMENT JOURNAL,APR,2018,WOS:000430556400015
ACADEMY_OF MANAGEMENT JOURNAL_37,https://doi.org/10.5465/amj.2016.0828,"Luciano, MM; Bartels, AL; D'Innocenzo, L; Maynard, MT; Mathieu, JE",SHARED TEAM EXPERIENCES AND TEAM EFFECTIVENESS: UNPACKING THE CONTINGENT EFFECTS OF ENTRAINED RHYTHMS AND TASK CHARACTERISTICS,FALSE,NA,FALSE,FALSE,NA,NA,J,ACADEMY OF MANAGEMENT JOURNAL,AUG,2018,WOS:000448132000009
